avg_cell_voltage;charging_current;max_cell_voltage;min_cell_voltage;max_cell_temp;min_cell_temp;soc;timestamp;;
3.88;-199.7;3.88;3.88;31;29;47.5;14.28;;
3.88;-199.5;3.88;3.88;31;29;47.5;14.42;;
3.88;-199.5;3.88;3.88;31;29;47.5;14.56;;
3.88;-199.5;3.88;3.88;31;29;47.5;14.7;;
3.88;-199.5;3.88;3.88;31;29;47.5;14.84;;
3.88;-199.5;3.88;3.88;31;29;47.5;14.98;;
3.88;-199.5;3.88;3.88;31;29;47.5;15.12;;
3.88;-199.5;3.88;3.88;31;29;47.5;15.26;;
3.88;-200.5;3.88;3.88;31;29;47.5;15.4;;
3.88;-200.5;3.88;3.88;31;29;47.5;15.54;;
3.88;-200.5;3.88;3.88;31;29;47.5;15.68;;
3.88;-200.5;3.88;3.88;31;29;47.5;15.82;;
3.88;-200.5;3.88;3.88;31;29;47.5;15.96;;
3.88;-200.5;3.88;3.88;31;29;47.5;16.1;;
3.88;-200.5;3.88;3.88;31;29;47.5;16.24;;
3.88;-200.5;3.88;3.88;31;29;47.5;16.38;;
3.88;-200.5;3.88;3.88;31;29;47.5;16.52;;
3.88;-200.5;3.88;3.88;31;29;47.5;16.66;;
3.88;-200.5;3.88;3.88;31;29;47.5;16.8;;
3.88;-200.5;3.88;3.88;31;29;47.5;16.94;;
3.88;-200.5;3.88;3.88;31;29;47.5;17.08;;
3.88;-200.5;3.88;3.88;31;29;47.5;17.22;;
3.88;-200.5;3.88;3.88;31;29;47.5;17.36;;
3.88;-200.5;3.88;3.88;31;29;47.5;17.5;;
3.88;-200.8;3.88;3.88;31;29;47.5;17.64;;
3.88;-200.8;3.88;3.88;31;29;47.5;17.78;;
3.88;-200.8;3.88;3.88;31;29;47.5;17.92;;
3.88;-200.8;3.88;3.88;31;29;47.5;18.06;;
3.88;-200.8;3.88;3.88;31;29;47.5;18.2;;
3.88;-200.8;3.88;3.88;31;29;47.5;18.34;;
3.88;-200.8;3.88;3.88;31;29;47.5;18.48;;
3.88;-199.8;3.88;3.88;31;29;47.5;18.62;;
3.88;-199.8;3.88;3.88;31;29;47.5;18.76;;
3.88;-199.8;3.88;3.88;31;29;47.5;18.9;;
3.88;-199.8;3.88;3.88;31;29;47.5;19.04;;
3.88;-199.8;3.88;3.88;31;29;47.5;19.18;;
3.88;-199.8;3.88;3.88;31;29;47.5;19.32;;
3.88;-199.8;3.88;3.88;31;29;47.5;19.46;;
3.88;-199.8;3.88;3.88;31;29;47.5;19.6;;
3.88;-199.8;3.88;3.88;31;29;47.5;19.74;;
3.88;-199.8;3.88;3.88;31;29;47.5;19.88;;
3.88;-199.8;3.88;3.88;31;29;47.5;20.02;;
3.88;-199.8;3.88;3.88;31;29;47.5;20.16;;
3.88;-199.8;3.88;3.88;31;29;47.5;20.3;;
3.88;-199.8;3.88;3.88;31;29;47.5;20.44;;
3.88;-200.8;3.88;3.88;31;29;48;20.58;;
3.88;-200.8;3.88;3.88;31;29;48;20.72;;
3.88;-200.8;3.88;3.88;31;29;48;20.86;;
3.88;-200.8;3.88;3.88;31;29;48;21;;
3.88;-200.8;3.88;3.88;31;29;48;21.14;;
3.88;-200.8;3.88;3.88;31;29;48;21.28;;
3.88;-200.8;3.88;3.88;31;29;48;21.42;;
3.88;-200.8;3.88;3.88;31;29;48;21.56;;
3.88;-200.9;3.88;3.88;31;29;48;21.7;;
3.88;-200.9;3.88;3.88;31;29;48;21.84;;
3.88;-200.9;3.88;3.88;31;29;48;21.98;;
3.88;-200.9;3.88;3.88;31;29;48;22.12;;
3.88;-200.9;3.88;3.88;31;29;48;22.26;;
3.88;-200.9;3.88;3.88;31;29;48;22.4;;
3.88;-200.9;3.88;3.88;31;29;48;22.54;;
3.88;-200.7;3.88;3.88;31;29;48;22.68;;
3.88;-200.7;3.88;3.88;31;29;48;22.82;;
3.88;-200.7;3.88;3.88;31;29;48;22.96;;
3.88;-200.7;3.88;3.88;31;29;48;23.1;;
3.88;-200.5;3.88;3.88;31;29;48;23.24;;
3.88;-200.5;3.88;3.88;31;29;48;23.38;;
3.88;-200.5;3.88;3.88;31;29;48;23.52;;
3.88;-200.5;3.88;3.88;31;29;48;23.66;;
3.88;-199.8;3.88;3.88;31;29;48;23.8;;
3.88;-199.8;3.88;3.88;31;29;48;23.94;;
3.88;-199.8;3.88;3.88;31;29;48;24.08;;
3.88;-199.8;3.88;3.88;31;29;48;24.22;;
3.88;-199.6;3.88;3.88;31;29;48;24.36;;
3.88;-199.6;3.88;3.88;31;29;48;24.5;;
3.88;-199.6;3.88;3.88;31;29;48;24.64;;
3.88;-199.6;3.88;3.88;31;29;48;24.78;;
3.88;-200.5;3.88;3.88;31;29;48;24.92;;
3.88;-200.5;3.88;3.88;31;29;48;25.06;;
3.88;-200.5;3.88;3.88;31;29;48;25.2;;
3.88;-200.5;3.88;3.88;31;29;48;25.34;;
3.88;-200.8;3.88;3.88;31;29;48;25.48;;
3.88;-200.8;3.88;3.88;31;29;48;25.62;;
3.88;-200.8;3.88;3.88;31;29;48;25.76;;
3.88;-200.8;3.88;3.88;31;29;48;25.9;;
3.88;-200.8;3.88;3.88;31;29;48;26.04;;
3.88;-200.8;3.88;3.88;31;29;48;26.18;;
3.88;-200.8;3.88;3.88;31;29;48;26.32;;
3.88;-200.8;3.88;3.88;31;29;48;26.46;;
3.88;-200.6;3.88;3.88;31;29;48;26.6;;
3.88;-200.6;3.88;3.88;31;29;48;26.74;;
3.88;-200.6;3.88;3.88;31;29;48;26.88;;
3.88;-200.6;3.88;3.88;31;29;48;27.02;;
3.88;-199.5;3.88;3.88;31;29;48;27.16;;
3.88;-199.5;3.88;3.88;31;29;48;27.3;;
3.88;-199.5;3.88;3.88;31;29;48;27.44;;
3.88;-199.5;3.88;3.88;31;29;48;27.58;;
3.88;-199.3;3.88;3.88;31;29;48;27.72;;
3.88;-199.3;3.88;3.88;31;29;48;27.86;;
3.88;-199.3;3.88;3.88;31;29;48;28;;
3.88;-199.3;3.88;3.88;31;29;48;28.14;;
3.88;-200.7;3.88;3.88;31;29;48;28.28;;
3.88;-200.7;3.88;3.88;31;29;48;28.42;;
3.88;-200.7;3.88;3.88;31;29;48;28.56;;
3.88;-200.7;3.88;3.88;31;29;48;28.7;;
3.88;-200.8;3.88;3.88;31;29;48;28.84;;
3.88;-200.8;3.88;3.88;31;29;48;28.98;;
3.88;-200.8;3.88;3.88;31;29;48;29.12;;
3.88;-200.8;3.88;3.88;31;29;48;29.26;;
3.88;-200.6;3.88;3.88;31;29;48;29.4;;
3.88;-200.6;3.88;3.88;31;29;48;29.54;;
3.88;-200.6;3.88;3.88;31;29;48;29.68;;
3.88;-200.6;3.88;3.88;31;29;48;29.82;;
3.88;-200.5;3.88;3.88;31;29;48;29.96;;
3.88;-200.5;3.88;3.88;31;29;48;30.1;;
3.88;-200.5;3.88;3.88;31;29;48;30.24;;
3.88;-200.5;3.88;3.88;31;29;48;30.38;;
3.88;-200.5;3.88;3.88;31;29;48;30.52;;
3.88;-200.5;3.88;3.88;31;29;48;30.66;;
3.88;-200.5;3.88;3.88;31;29;48;30.8;;
3.88;-200.5;3.88;3.88;31;29;48;30.94;;
3.88;-200.8;3.88;3.88;31;29;48;31.08;;
3.88;-200.8;3.88;3.88;31;29;48;31.22;;
3.88;-200.8;3.88;3.88;31;29;48;31.36;;
3.88;-200.8;3.88;3.88;31;29;48;31.5;;
3.88;-199.7;3.88;3.88;31;29;48;31.64;;
3.88;-199.7;3.88;3.88;31;29;48;31.78;;
3.88;-199.7;3.88;3.88;31;29;48;31.92;;
3.88;-199.7;3.88;3.88;31;29;48;32.06;;
3.88;-199.8;3.88;3.88;31;29;48;32.2;;
3.88;-199.8;3.88;3.88;31;29;48;32.34;;
3.88;-199.8;3.88;3.88;31;29;48;32.48;;
3.88;-199.8;3.88;3.88;31;29;48;32.62;;
3.88;-200.8;3.88;3.88;31;29;48;32.76;;
3.88;-200.8;3.88;3.88;31;29;48;32.9;;
3.88;-200.8;3.88;3.88;31;29;48;33.04;;
3.88;-200.8;3.88;3.88;31;29;48;33.18;;
3.9;-200.9;3.9;3.9;31;29;48;33.32;;
3.9;-200.9;3.9;3.9;31;29;48;33.46;;
3.9;-200.9;3.9;3.9;31;29;48;33.6;;
3.9;-200.9;3.9;3.9;31;29;48;33.74;;
3.9;-200.9;3.9;3.9;31;29;48;33.88;;
3.9;-200.9;3.9;3.9;31;29;48;34.02;;
3.9;-200.9;3.9;3.9;31;29;48;34.16;;
3.9;-200.9;3.9;3.9;31;29;48;34.3;;
3.9;-199.6;3.9;3.9;31;29;48;34.44;;
3.9;-199.6;3.9;3.9;31;29;48;34.58;;
3.9;-199.6;3.9;3.9;31;29;48;34.72;;
3.9;-199.6;3.9;3.9;31;29;48;34.86;;
3.88;-199.6;3.88;3.88;31;29;48;35;;
3.88;-199.6;3.88;3.88;31;29;48;35.14;;
3.88;-199.6;3.88;3.88;31;29;48;35.28;;
3.88;-199.6;3.88;3.88;31;29;48;35.42;;
3.9;-200.7;3.9;3.9;31;29;48;35.56;;
3.9;-200.7;3.9;3.9;31;29;48;35.7;;
3.9;-200.7;3.9;3.9;31;29;48;35.84;;
3.9;-200.7;3.9;3.9;31;29;48;35.98;;
3.9;-200.8;3.9;3.9;31;29;48;36.12;;
3.9;-200.8;3.9;3.9;31;29;48;36.26;;
3.9;-200.8;3.9;3.9;31;29;48;36.4;;
3.9;-200.8;3.9;3.9;31;29;48;36.54;;
3.9;-200.7;3.9;3.9;31;29;48;36.68;;
3.9;-200.7;3.9;3.9;31;29;48;36.82;;
3.9;-200.7;3.9;3.9;31;29;48;36.96;;
3.9;-200.7;3.9;3.9;31;29;48;37.1;;
3.9;-200.6;3.9;3.9;31;29;48;37.24;;
3.9;-200.6;3.9;3.9;31;29;48;37.38;;
3.9;-200.6;3.9;3.9;31;29;48;37.52;;
3.9;-200.6;3.9;3.9;31;29;48;37.66;;
